entity,filing_date,industry_group_sec,state_or_country,year_of_incorporation,total_offering_usd,total_sold_usd,n_investors,mega_raise_100m,likely_nonstartup_category,likely_operating_company_context
SignalCraft Analytics Group Inc.,30-JUN-2026,Investing,NY,2026.0,,100000000,1000,True,True,False
EQT Private Equity Co LLC,30-JUN-2026,Other,NY,2024.0,,788172352,4423,True,False,True
Waterloo West Productions LLC,30-JUN-2026,Other,IA,2024.0,10000000.0,1650000,16,False,False,True
"Northfield V74 I, LLC",30-JUN-2026,Other Real Estate,IN,2025.0,17800000.0,17800000,184,False,True,False
Mountain Valley MD Holdings Inc.,30-JUN-2026,Other Health Care,A6,,5094410.0,1212955,11,False,False,True
"MCP Beloit Investors, LLC",30-JUN-2026,Other Real Estate,TX,2026.0,1745419.0,1173167,22,False,True,False
"Indy Innovation Apartments, LLC",30-JUN-2026,Other Real Estate,IN,2025.0,16225000.0,16225000,96,False,True,False
Else Nutrition Holdings Inc.,30-JUN-2026,Other,A1,,2459028.0,936050,1,False,False,True
"Vurvey Labs, Inc.",30-JUN-2026,Other Technology,OH,2022.0,40000000.0,21999987,1,False,False,True
CSV RHYTHM HEALTH LLC,30-JUN-2026,Other Technology,NY,2026.0,9560000.0,9560000,15,False,False,True
"BI QOF, LLC",30-JUN-2026,Other Real Estate,IN,2025.0,8195000.0,8195000,95,False,True,False
E22 Gore Partners LLC,30-JUN-2026,Residential,FL,2025.0,,1800000,1,False,True,False
"Pine State Infrastructure Fund 9, LP",30-JUN-2026,Other,AR,2025.0,,86400000,108,False,False,True
"PowerPollen, Inc.",30-JUN-2026,Agriculture,IA,,20000000.0,10215860,2,False,False,True
"Bond Aviation Holdings, LLC",30-JUN-2026,Airlines and Airports,FL,2025.0,,27150000,46,False,False,True
"Whitefish 57 Commercial, LLC",30-JUN-2026,Other Real Estate,FL,,4346936.0,4346936,6,False,True,False
Imaging Diagnostic Partners (General Partnership),30-JUN-2026,Other Health Care,CA,2026.0,,120000,1,False,False,True
Japan Gold Corp.,30-JUN-2026,Other,A1,,1000000.0,1000000,1,False,False,True
"ROGERS NWA OFFICE, LLC",30-JUN-2026,Commercial,AR,2026.0,4300000.0,4300000,53,False,True,False
"Driftwood Golf Club Development, Inc.",30-JUN-2026,Other,AZ,,51800000.0,21550000,167,False,False,True
Fluidstack Ltd,30-JUN-2026,Other Technology,X0,,1500000000.0,729999546,7,True,False,True
"EF Beacon Hill Syndication, LLC",30-JUN-2026,Commercial,TX,2026.0,2000000.0,0,0,False,True,False
Usonia MH Raleigh LLC,30-JUN-2026,Other Real Estate,CA,2026.0,5390000.0,5390000,36,False,True,False
"WFF, Inc.",30-JUN-2026,Manufacturing,IL,2023.0,10000000.0,5000000,3,False,False,True
NexPoint Outlook DST,30-JUN-2026,Other Real Estate,TX,2025.0,32903006.0,5783245,19,False,True,False
Bay Area Marketplace LLC,30-JUN-2026,Residential,TX,2026.0,2300000.0,1735000,31,False,True,False
"FOCAL POINT PROCUREMENT SOLUTIONS, INC.",30-JUN-2026,Other Technology,GA,,7450000.0,7449999,3,False,False,True
"Invito Opportunity Fund 2026, LP",30-JUN-2026,Oil and Gas,TX,2026.0,10000000.0,0,0,False,False,True
Health Cost IQ Inc.,30-JUN-2026,Other Technology,AZ,2023.0,1499999.0,1499999,1,False,False,True
Yakuru Inc.,30-JUN-2026,Other Technology,DE,2025.0,,500000,12,False,False,True
"A2 Commercial Fund II, LLC",30-JUN-2026,Commercial,NY,2025.0,20000000.0,5544609,10,False,True,False
"Interval, LLC",30-JUN-2026,Business Services,AZ,2025.0,1000000.0,40000,7,False,False,True
"Rise Bluestone Partners, LLC",30-JUN-2026,Residential,AZ,2026.0,19860176.0,18228485,99,False,True,False
S3 Small Balance RE Credit A Domestic LP,30-JUN-2026,REITS and Finance,NY,,,215318386,367,True,True,False
S3 Small Balance RE Credit A Foreign LLC,30-JUN-2026,REITS and Finance,NY,,,35315416,34,False,True,False
MeadowCX Inc.,30-JUN-2026,Other Technology,CA,2025.0,6000000.0,1158000,12,False,False,True
"Kingmakers Cigars, LLC",30-JUN-2026,Other,SC,2022.0,10000000.0,50000,1,False,False,True
"QHVC Fund I, LLC",30-JUN-2026,Residential,VA,2026.0,5000000.0,0,0,False,True,False
HighPoint Midstream LLC,30-JUN-2026,Oil and Gas,TX,2022.0,101395440.0,96667200,44,False,False,True
"VedaPointe, Inc.",30-JUN-2026,Other Health Care,MO,,6952751.0,4027751,17,False,False,True
"Aynak, Inc.",30-JUN-2026,Other Technology,CA,2024.0,1800000.0,720000,2,False,False,True
"Tanbark Molded Fiber Products, Inc.",30-JUN-2026,Manufacturing,ME,2022.0,3000000.0,3000000,1,False,False,True
Silverline FFX GO LLC,30-JUN-2026,Commercial,VA,2026.0,4060000.0,4060000,18,False,True,False
"Panex Field Development Fund #1, LP",30-JUN-2026,Oil and Gas,KY,2026.0,10000000.0,0,0,False,False,True
Shop KAMI Inc.,30-JUN-2026,Retailing,NY,2025.0,100000.0,60000,11,False,False,True
"MCP Beloit Investors, LLC",30-JUN-2026,Other Real Estate,TX,2026.0,1275921.0,1173167,22,False,True,False
Discovery Property Co LLC,30-JUN-2026,Other,AZ,,57200000.0,45800000,218,False,False,True
"Commodore Investco, LLC",30-JUN-2026,Other,TN,2026.0,10000000.0,10000000,13,False,False,True
"Culpepper Arlington Investors, LLC",30-JUN-2026,Restaurants,TX,2026.0,2250000.0,300000,2,False,False,True
"Air Control Concepts Holdings, L.P.",30-JUN-2026,Other,VA,2023.0,,5999990,1,False,False,True
"Amplifi Vascular, Inc.",30-JUN-2026,Biotechnology,KS,2023.0,12000000.0,5960278,59,False,False,True
PS Alabama LLC,30-JUN-2026,Commercial,GA,2026.0,6600000.0,0,0,False,True,False
MAYFLOWER INVESTMENT GROUP INC,30-JUN-2026,REITS and Finance,FL,,2000000.0,0,0,False,True,False
Mgr Deal 6 LLC,30-JUN-2026,Commercial,GA,2026.0,12500000.0,0,0,False,True,False
Flowtex Jungle #1 Joint Venture,30-JUN-2026,Oil and Gas,TX,2026.0,7820000.0,0,0,False,False,True
ACV Wenatchee Sutton Place LLC,30-JUN-2026,Commercial,CA,2026.0,6909000.0,6909000,45,False,True,False
"PieTech, Inc.",30-JUN-2026,Other Technology,TX,2024.0,23722425.0,22219958,37,False,False,True
AZJAH40 LLC,30-JUN-2026,Other,AZ,2025.0,312996.0,262996,5,False,False,True
"Bonaventure Multifamily Income Trust, Inc.",30-JUN-2026,REITS and Finance,VA,2021.0,,144381702,335,True,True,False
"SC Conway Church, LLC",30-JUN-2026,Commercial,SC,2026.0,,385000,3,False,True,False
F1RE Fund LLC,30-JUN-2026,REITS and Finance,MO,2026.0,25000000.0,0,0,False,True,False
Gaingels Journey Robotics LLC,30-JUN-2026,Other,VT,2026.0,112511.0,112511,7,False,False,True
Gaingels Walden LLC,30-JUN-2026,Other,VT,2026.0,693163.0,693163,16,False,False,True
Brand Engagement Network Inc.,30-JUN-2026,Other Technology,DE,,1000593.0,1000593,1,False,False,True
Brand Engagement Network Inc.,30-JUN-2026,Other Technology,DE,,1000561.0,1000561,1,False,False,True
Gaingels Edge Aerospace LLC,30-JUN-2026,Other,VT,2026.0,190068.0,190068,9,False,False,True
Gaingels Vanguard LLC,30-JUN-2026,Other,VT,2026.0,47289.0,47289,10,False,False,True
"BELLADONNA RACING, LLC",30-JUN-2026,Other,KY,,15000000.0,0,0,False,False,True
Kioxia Holdings Corp,30-JUN-2026,Other Technology,M0,,100000000.0,40308436,41,False,False,True
Gaingels Campus LLC,30-JUN-2026,Other,VT,2026.0,140506.0,140506,12,False,False,True
Saara Intelligence Corp.,30-JUN-2026,Other Technology,UT,2025.0,300000.0,100000,3,False,False,True
"SMITH MICRO SOFTWARE, INC.",30-JUN-2026,Telecommunications,PA,,,0,6,False,False,True
"BELLADONNA RACING, LLC",30-JUN-2026,Other,KY,,2000000.0,0,0,False,False,True
"Sidari Artisan Brands, Corp",30-JUN-2026,Manufacturing,FL,2025.0,4000000.0,625000,6,False,False,True
MGP Holdings I LP,30-JUN-2026,Business Services,NY,,,40289513,88,False,False,True
CHE Holdings I LP,30-JUN-2026,Retailing,NY,2021.0,,90000000,39,False,False,True
Dust & Shadow LLC,30-JUN-2026,Other,NY,,3500000.0,0,0,False,False,True
"Baseten Labs, Inc.",30-JUN-2026,Other Technology,CA,,1499995892.0,1096448855,41,True,False,True
GCP SV3 III LLC,30-JUN-2026,Other Real Estate,ID,2026.0,1099905.0,1099905,15,False,True,False
"Titan Infra I, a series of Capitalize Investments LLC",30-JUN-2026,Other,NV,2026.0,,2926150,142,False,False,True
"Events.com, Inc.",30-JUN-2026,Other,CA,,6750000.0,6750000,8,False,False,True
"Gratwick Enterprises, Inc",30-JUN-2026,Other Technology,CA,2021.0,250000.0,102000,5,False,False,True
"ROVR Products III, a series of Capitalize Investments LLC",30-JUN-2026,Other,NV,2026.0,,50250,9,False,False,True
Conexeu Sciences Inc.,30-JUN-2026,Biotechnology,NV,2022.0,465953.0,203,1,False,False,True
Conexeu Sciences Inc.,30-JUN-2026,Biotechnology,NV,2022.0,86320.0,86320,2,False,False,True
DP PWCC Co-Invest Fund L.P.,30-JUN-2026,Other Real Estate,NV,2025.0,,0,0,False,True,False
WRG Silver Creek LLC,30-JUN-2026,Residential,ID,2026.0,16300000.0,9265959,30,False,True,False
GCP SV3 II LLC,30-JUN-2026,Other Real Estate,ID,2026.0,549820.0,549820,15,False,True,False
"Melrose II S TIC, LLC",30-JUN-2026,Residential,UT,,4778368.0,4778368,2,False,True,False
"Issio Solutions, Inc.",30-JUN-2026,Other Technology,CA,,700002.0,647065,16,False,False,True
"MIMG CCLXV Rapid City 6 Master, LLC",30-JUN-2026,Commercial,CO,2026.0,19800000.0,16325000,155,False,True,False
"Events.com, Inc.",30-JUN-2026,Other,CA,,3725001.0,3725001,3,False,False,True
Department of Hydration Inc.,30-JUN-2026,Other,TX,2026.0,1250000.0,100000,1,False,False,True
Recombinant Diagnostics LLC,30-JUN-2026,Other Health Care,FL,2025.0,,150000,2,False,False,True
GCP SV3 LLC,30-JUN-2026,Other Real Estate,ID,2025.0,1000010.0,1000010,15,False,True,False
"SonoThera, Inc.",30-JUN-2026,Biotechnology,CA,2021.0,125450218.0,125450218,22,True,False,True
Andon Bio Inc.,30-JUN-2026,Biotechnology,CO,2026.0,2000000.0,250000,1,False,False,True
"Eccentric Machines, Inc.",29-JUN-2026,Other Technology,NY,2026.0,5000000.0,5000000,4,False,False,True
Maia Medical Billing Corp.,29-JUN-2026,Other Health Care,CO,2025.0,1750000.0,1202000,14,False,False,True
High Boy Ventures LLC,29-JUN-2026,Residential,UT,,36477185.0,36477185,28,False,True,False
Redstone Oil Corp.,29-JUN-2026,Oil and Gas,A0,2026.0,5550159.0,5550159,3,False,False,True
HWH International Inc.,29-JUN-2026,Retailing,MD,2022.0,500000.0,500000,1,False,False,True
Rubico Inc.,29-JUN-2026,Other,J3,2022.0,10263162.0,0,6,False,False,True
"Kimle Aquaculture, Inc.",29-JUN-2026,Agriculture,IA,,1499971.0,634982,5,False,False,True
"UPEXI, INC.",29-JUN-2026,Other,FL,,19542635.0,19542635,1,False,False,True
"Peachtree Credit Fund IV, LP",29-JUN-2026,Other Real Estate,GA,2024.0,500000000.0,245131828,604,True,True,False
"Fort Worth Partners, LLC",29-JUN-2026,Residential,AL,2025.0,18000000.0,7211167,23,False,True,False
"Blackstone Real Estate Income Trust, Inc.",29-JUN-2026,REITS and Finance,NY,,,367525115,2080,True,True,False
"FibroBiologics, Inc.",29-JUN-2026,Pharmaceuticals,TX,2021.0,3000000.0,3000000,1,False,False,True
"Forescout Parent, Inc.",29-JUN-2026,Other Technology,CA,2022.0,,162942017,81,True,False,True
"Invito DrillCo 2026, LP",29-JUN-2026,Oil and Gas,TX,2026.0,40000000.0,0,0,False,False,True
"Northwest Rental Fund 1, LP",29-JUN-2026,Commercial,ID,2026.0,10000000.0,0,0,False,True,False
"Row Global, Inc.",29-JUN-2026,Other Technology,FL,2023.0,8250000.0,3409997,4,False,False,True
"ChartSpan Medical Technologies, Inc.",29-JUN-2026,Other Technology,SC,,55000000.0,50471583,36,False,False,True
"Lilac Solutions, Inc.",29-JUN-2026,Other Technology,CA,,46684541.0,34369684,21,False,False,True
"StoryPath, LLC",29-JUN-2026,Other Technology,ID,2024.0,1830000.0,0,0,False,False,True
"Forescout Parent, Inc.",29-JUN-2026,Other Technology,CA,2022.0,444000.0,444000,14,False,False,True
"Hideaway at Oconee, LLC",29-JUN-2026,Other Real Estate,GA,2024.0,36689985.0,31300000,151,False,True,False
"Heartland Life Settlements 1, LLC",29-JUN-2026,Other,PA,,300000.0,53191,5,False,False,True
Vicky & Frank Ltd Liability Co,29-JUN-2026,Other,NY,2026.0,3500000.0,0,0,False,False,True
USEDC 2026 Drilling Fund 2 LP,29-JUN-2026,Oil and Gas,TX,2026.0,250000000.0,500000,0,False,False,True
WT Realty Group Inc.,29-JUN-2026,Other Real Estate,CA,2025.0,5000000.0,5000000,3,False,True,False
USEDC Opportunity Zone IV LP,29-JUN-2026,Oil and Gas,TX,2026.0,100000000.0,100000,0,False,False,True
ADVANTAGE ASSETS LLC,29-JUN-2026,Other Real Estate,MO,2026.0,100000000.0,0,0,False,True,False
"Financial Industry Information & Rating Organization, Inc.",29-JUN-2026,Other Banking and Financial Services,NE,,1500000.0,0,0,False,True,False
HARVEST GOLD CORP,29-JUN-2026,Other,A1,,985880.0,352100,1,False,False,True
"Andmark Investment Fund VII, LLC",29-JUN-2026,Residential,CA,2025.0,147700000.0,147700000,165,True,True,False
CHEVRON PHILLIPS CHEMICAL CO LP,29-JUN-2026,Other Energy,TX,,,107471449,140,True,False,True
"Uniti AI, Inc.",29-JUN-2026,Other Technology,NY,2023.0,12000000.0,11892146,16,False,False,True
Silver Bullet Capital Group LLC,29-JUN-2026,Residential,WY,2022.0,2000000.0,167251,17,False,True,False
"Pax8, Inc.",29-JUN-2026,Other Technology,CO,,580000.0,580000,3,False,False,True
USEDC Mineral Exchange I LLC,29-JUN-2026,Oil and Gas,TX,2022.0,100000000.0,181353,0,False,False,True
Redwood Vandalia Little York Road OH P3 LLC,29-JUN-2026,Residential,OH,2026.0,3175000.0,0,0,False,True,False
"Eleven Ridge Investments, LLC",29-JUN-2026,Investing,GA,2026.0,5000000.0,0,0,False,True,False
Leghorn LLC,29-JUN-2026,Commercial,OR,2026.0,2800000.0,2800000,10,False,True,False
USEDC 2026 Drilling Fund 2 LP,29-JUN-2026,Oil and Gas,TX,2026.0,250000000.0,107527,0,False,False,True
Pinal County Federal Credit Union,29-JUN-2026,Other Banking and Financial Services,AZ,,8000000.0,8000000,2,False,True,False
USEDC 2026 Drilling Fund 1 LP,29-JUN-2026,Oil and Gas,TX,2026.0,250000000.0,1000000,0,False,False,True
USEDC 2026 Drilling Fund 1 LP,29-JUN-2026,Oil and Gas,TX,2026.0,250000000.0,2500000,0,False,False,True
Institutional Drilling Fund III LP,29-JUN-2026,Oil and Gas,TX,2026.0,250000000.0,250000,0,False,False,True
Dewdrop Labs Inc,29-JUN-2026,Other Technology,CA,2026.0,20415977.0,20040984,10,False,False,True
"Pax8, Inc.",29-JUN-2026,Other Technology,CO,,1572000.0,1572000,5,False,False,True
"Livelyhood Health, Inc",29-JUN-2026,Other Health Care,FL,2025.0,499999.0,450000,1,False,False,True
"Mendbrain Health, Inc.",29-JUN-2026,Other Health Care,FL,2026.0,15000.0,14000,2,False,False,True
Disruption Off-Broadway Ltd Liability Co,29-JUN-2026,Other,NY,2026.0,2200000.0,0,0,False,False,True
"CFrame, Inc.",29-JUN-2026,Other Technology,MD,2025.0,,25000,1,False,False,True
"WallStreetX ETFs, Inc.",29-JUN-2026,Other Banking and Financial Services,NY,2025.0,,6000000,0,False,True,False
Proven Proteins Inc.,29-JUN-2026,Agriculture,IN,2025.0,1000000.0,125000,1,False,False,True
"Linxia Shidai Holdings Group Co., Ltd",29-JUN-2026,Other Technology,K3,2025.0,500000000.0,0,0,False,False,True
"Harri Topco, Inc.",29-JUN-2026,Other Technology,NY,2023.0,15000000.0,3000000,0,False,False,True
"WIDDYUP, INC.",29-JUN-2026,Other,WY,2021.0,250000.0,250000,1,False,False,True
"Parallel Loop, Inc.",29-JUN-2026,Other Technology,CA,2026.0,6999999.0,4000000,1,False,False,True
